序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1310,301413,安培龙,63.5,-2.1,-1.36,5616.0,35966697.88,2.31,64.8,63.3,64.7,64.86,0.82,3.48,59.14,4.26,4806558523.0,1025367393.0,-0.22,-0.33,-31.72,-14.42
1311,300712,永福股份,25.55,-2.11,-0.55,20191.0,51882230.5,2.87,26.18,25.43,26.11,26.1,1.06,1.08,118.24,3.51,4791801194.0,4767361981.0,-0.35,-0.23,4.8,-4.66
1312,300633,开立医疗,42.62,-2.2,-0.96,21672.0,92818423.74,2.55,43.61,42.5,43.6,43.58,1.33,0.5,42.94,6.0,18354421697.0,18354421697.0,-0.19,-0.33,-11.76,-9.89
1313,300782,卓胜微,111.32,-2.23,-2.54,28178.0,317927985.92,3.06,114.66,111.18,113.8,113.86,1.22,0.63,51.02,6.03,59424308732.0,49516980572.0,-0.13,-0.19,-20.66,-21.05
1314,300122,智飞生物,49.27,-2.24,-1.13,130034.0,640607504.28,2.74,50.18,48.8,50.01,50.4,1.69,0.92,13.58,3.95,118248000000.0,69988942209.0,-0.3,-0.42,-18.95,-19.37
1316,301500,飞南资源,20.48,-2.29,-0.48,37598.0,76767271.64,2.77,20.78,20.2,20.5,20.96,1.23,10.01,36.45,1.88,8192204800.0,769390940.0,-0.34,-0.39,-1.01,-5.49
1318,301141,中科磁业,51.55,-2.31,-1.22,22947.0,118833958.81,3.11,52.72,51.08,51.97,52.77,1.34,10.71,89.86,3.63,4567057713.0,1104298636.0,-0.15,0.08,11.82,10.76
1323,301368,丰立智能,51.82,-2.43,-1.29,58082.0,304819346.48,3.62,53.72,51.8,52.38,53.11,1.13,9.06,157.65,6.38,6223582000.0,3322773021.0,-0.1,-0.35,33.8,9.93
1324,300077,国民技术,10.8,-2.44,-0.27,168525.0,182891517.76,2.89,11.04,10.72,10.89,11.07,2.15,2.98,-13.71,4.42,6424282800.0,6113522520.0,-0.09,-0.09,-4.93,-4.34
1326,300661,圣邦股份,70.91,-2.53,-1.84,8721.0,62741470.96,3.27,73.18,70.8,72.67,72.75,0.99,0.19,175.01,9.04,33144854523.0,31760272883.0,-0.06,-0.14,-14.8,-20.33
1327,301339,通行宝,18.48,-2.53,-0.48,88468.0,163570662.3,3.32,18.85,18.22,18.4,18.96,3.63,7.37,36.32,2.95,7521360000.0,2218403473.0,-0.11,-0.11,-12.25,-8.42
1330,300044,赛为智能,6.02,-2.59,-0.16,471348.0,284898145.86,2.27,6.13,5.99,6.09,6.18,1.59,6.88,199.15,5.61,4598492753.0,4122586986.0,0.0,-0.5,-14.97,3.61
1331,300210,森远股份,12.76,-2.6,-0.34,226103.0,291382575.66,3.66,13.18,12.7,12.79,13.1,1.27,4.67,-130.7,11.58,6178646600.0,6171606985.0,-0.62,-0.78,8.5,29.28
1333,301510,固高科技,42.95,-2.61,-1.15,71974.0,309439384.83,6.58,44.9,42.0,42.66,44.1,1.62,19.61,441.88,13.92,17180429500.0,1576594298.0,-0.3,0.09,19.14,19.34
